uint,uint,string
ID,NUM,IMAGEPATH
10001,100,img_accountexp
10002,100,img_passexp
20001,1000,img_gold
20002,100,img_dia
30001,1,img_character001
30002,1,img_character002
30003,1,img_character003
30004,1,img_character004
30005,1,img_character005
30006,1,img_character006
30007,1,img_character007
30008,1,img_character008
30009,1,img_character009
30010,1,img_character010
40001,1,img_item001
40002,1,img_item002
40003,1,img_item003
40004,1,img_item004
40005,1,img_item005
40006,1,img_item006
40007,1,img_item007
40008,1,img_item008
40009,1,img_item009
40010,1,img_item010
40011,1,img_item011
40012,1,img_item012
40013,1,img_item013
40014,1,img_item014
